c_report_date,c_fd_code,c_stk_pos_avg,c_stk_pos_chg_avg,c_stk_pos_level,c_stk_timing,c_updatetime
2025-09-30,000457,85.533800,5.525700,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000457,86.702500,5.510000,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000458,86.087500,3.471400,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000458,84.998800,3.417100,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000458,85.305000,4.311400,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000462,85.198800,3.300000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000462,85.871300,3.898600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000462,85.702500,3.905700,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000471,88.933800,1.494300,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000471,88.312500,1.448600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000471,88.501300,2.081400,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000477,74.915000,7.227100,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000477,72.881300,5.382900,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000477,70.500000,5.777100,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000480,79.846300,3.382900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000480,79.350000,3.668600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000480,78.745000,3.797100,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000496,81.892500,6.398600,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000496,81.576300,7.012900,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000496,80.765000,7.275700,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000513,90.811300,1.787100,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000513,91.318800,1.887100,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000513,91.503800,2.015700,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000520,84.472500,4.425700,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000520,83.933800,4.698600,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000520,83.912500,5.081400,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000522,82.306300,8.785700,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000522,81.561300,8.378600,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000522,78.867500,8.814300,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000523,89.593800,3.590000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000523,90.286300,3.231400,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000523,90.261300,3.497100,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000524,88.250000,2.772900,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000524,87.803800,3.610000,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000524,87.391300,3.464300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000527,85.801300,2.577100,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000527,86.476300,2.142900,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000527,86.132500,2.770000,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000529,89.467500,3.394300,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000529,89.322500,2.470000,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000529,88.482500,2.482900,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000531,91.256300,1.517100,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000531,91.328800,1.367100,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000531,91.278800,1.550000,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000532,85.113800,6.905700,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000532,84.268800,6.840000,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000532,83.798800,5.561400,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000534,90.511300,2.744300,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000534,89.198800,2.825700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000534,89.403800,2.797100,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000535,90.921300,4.678600,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000535,90.586300,5.355700,高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000535,89.681300,4.180000,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000538,88.262500,3.858600,中高仓位,不择时,2026-02-25 18:15:19.294
