c_fd_code,c_report_date,c_bd_code,c_bd_type,c_style,c_notice_date,c_bd_inner_code,c_bd_name,c_hold_num,c_hold_value,c_nav_ratio,c_is_stat
000198,2025-06-30,112515106,1,02,2025-08-29,1004234348,25民生银行CD106,30000000.000000,2955485609.740000,0.370000,-1
000198,2025-06-30,112598198,1,05,2025-07-21,1004281056,25南京银行CD135,26000000.000000,2590921852.670000,0.330000,-1
000198,2025-06-30,112598198,1,02,2025-08-29,1004281056,25南京银行CD135,26000000.000000,2590921852.670000,0.330000,-1
000198,2025-06-30,012580207,1,05,2025-07-21,1004094466,25电网SCP003,25000000.000000,2517827044.180000,0.320000,-1
000198,2025-06-30,012580207,1,02,2025-08-29,1004094466,25电网SCP003,25000000.000000,2517827044.180000,0.320000,-1
000198,2025-06-30,112406283,1,02,2025-08-29,1003933576,24交通银行CD283,21000000.000000,2092157690.500000,0.260000,-1
000198,2025-06-30,112406283,1,05,2025-07-21,1003933576,24交通银行CD283,21000000.000000,2092157690.500000,0.260000,-1
000199,2025-12-31,019766,1,06,2026-01-22,1004084471,25国债01,80000.000000,8089240.550000,2.090000,-1
000199,2025-12-31,019785,1,06,2026-01-22,1004310916,25国债13,70000.000000,7042210.960000,1.820000,-1
000199,2025-09-30,019766,1,03,2025-10-28,1004084471,25国债01,40000.000000,4030924.930000,0.990000,-1
000199,2025-06-30,019766,1,02,2025-08-30,1004084471,25国债01,40000.000000,4017629.590000,1.880000,-1
000199,2025-06-30,019766,1,05,2025-07-19,1004084471,25国债01,40000.000000,4017629.590000,1.880000,-1
000200,2025-12-31,091701003,1,06,2026-01-22,1000963847,17中国信达债03,500000.000000,53538835.620000,4.820000,-1
000200,2025-12-31,102481839,1,06,2026-01-22,1003812540,24西安经发MTN001,500000.000000,51330849.320000,4.620000,-1
000200,2025-12-31,102482213,1,06,2026-01-22,1003845411,24京保险MTN001B,500000.000000,51284054.790000,4.610000,-1
000200,2025-12-31,102483114,1,06,2026-01-22,1003884959,24物产中大MTN002,500000.000000,50774421.920000,4.570000,-1
000200,2025-12-31,250304,1,06,2026-01-22,1004173845,25进出04,500000.000000,50615890.410000,4.550000,-1
